cokey,mukey,comppct_r,compname,hydgrp,drainagecl,slope_r,chkey,hzdept_r,hzdepb_r,ksat_r,awc_r,sandtotal_r,claytotal_r,dbthirdbar_r,om_r
26573143,326279,85,Tifton,B,Well drained,3.0,79300141.0,18.0,28.0,9.0,0.1,62.2,29.9,1.73,0.26
26573143,326279,85,Tifton,B,Well drained,3.0,79300140.0,28.0,91.0,9.0,0.09,62.2,29.9,1.73,0.12
26573143,326279,85,Tifton,B,Well drained,3.0,79300142.0,91.0,107.0,9.0,0.09,62.2,29.9,1.73,0.12
26573143,326279,85,Tifton,B,Well drained,3.0,79300139.0,107.0,157.0,2.7,0.09,62.2,29.9,1.73,0.03
26573131,326282,100,Vaucluse,C,Well drained,7.0,79300078.0,0.0,15.0,92.0,0.06,84.9,6.0,1.45,0.75
26573131,326282,100,Vaucluse,C,Well drained,7.0,79300079.0,15.0,38.0,92.0,0.06,84.9,6.0,1.45,0.25
26573131,326282,100,Vaucluse,C,Well drained,7.0,79300080.0,38.0,74.0,9.0,0.13,55.8,26.5,1.55,0.25
26573131,326282,100,Vaucluse,C,Well drained,7.0,79300081.0,74.0,147.0,2.0,0.06,54.1,31.5,1.85,0.25
26573131,326282,100,Vaucluse,C,Well drained,7.0,79300082.0,147.0,183.0,28.0,0.06,67.2,17.5,1.73,0.25
26402117,334753,45,Kinston,B/D,Poorly drained,1.0,78771384.0,0.0,20.0,9.0,0.18,39.5,24.0,1.42,3.0
26402117,334753,45,Kinston,B/D,Poorly drained,1.0,78771385.0,20.0,38.0,9.0,0.17,35.0,30.0,1.48,1.0
26402117,334753,45,Kinston,B/D,Poorly drained,1.0,78771386.0,38.0,84.0,28.0,0.13,68.0,12.0,1.44,2.0
26402117,334753,45,Kinston,B/D,Poorly drained,1.0,78771387.0,84.0,203.0,9.0,0.16,58.5,26.5,1.53,0.75
26402118,334753,35,Bibb,A/D,Poorly drained,1.0,78771391.0,0.0,8.0,28.0,0.17,63.9,8.5,1.48,2.0
26402118,334753,35,Bibb,A/D,Poorly drained,1.0,78771388.0,8.0,68.0,28.0,0.12,66.6,10.0,1.56,0.5
26402118,334753,35,Bibb,A/D,Poorly drained,1.0,78771389.0,68.0,114.0,28.0,0.13,70.0,10.0,1.48,2.0
26402118,334753,35,Bibb,A/D,Poorly drained,1.0,78771390.0,114.0,203.0,28.0,0.12,70.0,10.0,1.56,0.5
